period,Battery,Biomass,Coal,Curtailment,Diesel,Gas,Geothermal,Hydro,Nuclear,Solar,Trans_loss,Wind,scs,fossil_twh,clean_twh,vre_twh,total_twh,Hydro_share,Gas_share,Solar_share,Wind_share,Clean_share,VRE_share,Fossil_share
2050,-1.41,74.99,3.58,3.01,0.02,595.24,0.35,771.81,32.83,300.29,-0.5,373.95,trd_vestas2_1axis,598.84,1554.21,674.24,2153.05,0.36,0.28,0.14,0.17,0.72,0.31,0.28
2020,0.0,83.11,19.35,51.29,11.41,162.37,0.35,542.07,32.83,14.39,-0.43,27.62,trd_vestas7_1axis,193.13,700.36,42.01,893.5,0.61,0.18,0.02,0.03,0.78,0.05,0.22
2030,0.0,71.2,22.43,43.88,0.0,215.98,0.35,632.07,32.83,192.28,-0.6,45.28,trd_vestas7_1axis,238.41,974.0,237.56,1212.42,0.52,0.18,0.16,0.04,0.8,0.2,0.2
2040,0.0,81.57,11.67,16.58,0.0,483.44,0.35,732.4,32.83,222.48,-0.57,49.08,trd_vestas7_1axis,495.11,1118.71,271.56,1613.82,0.45,0.3,0.14,0.03,0.69,0.17,0.31
2050,-2.18,81.24,7.9,2.48,0.02,737.04,0.35,772.18,32.83,334.05,-0.56,187.63,trd_vestas7_1axis,744.96,1408.27,521.68,2153.23,0.36,0.34,0.16,0.09,0.65,0.24,0.35
2020,0.0,83.11,19.35,51.29,11.41,162.37,0.35,542.07,32.83,14.39,-0.43,27.62,trd_vestas3_1axis,193.13,700.36,42.01,893.5,0.61,0.18,0.02,0.03,0.78,0.05,0.22
2030,0.0,70.53,23.04,44.36,0.0,217.38,0.35,632.1,32.83,208.59,-0.62,27.61,trd_vestas3_1axis,240.42,972.01,236.21,1212.43,0.52,0.18,0.17,0.02,0.8,0.19,0.2
2040,0.0,81.71,11.93,16.86,0.0,487.23,0.35,732.14,32.83,238.91,-0.63,28.79,trd_vestas3_1axis,499.16,1114.72,267.7,1613.89,0.45,0.3,0.15,0.02,0.69,0.17,0.31
2050,-2.29,81.59,11.52,2.31,0.02,807.82,0.35,777.31,32.83,340.43,-0.61,101.44,trd_vestas3_1axis,819.35,1333.95,441.86,2153.3,0.36,0.38,0.16,0.05,0.62,0.21,0.38
2020,0.0,83.11,19.35,51.29,11.41,162.37,0.35,542.07,32.83,14.39,-0.43,27.62,trd_siemens36_1axis,193.13,700.36,42.01,893.5,0.61,0.18,0.02,0.03,0.78,0.05,0.22
2030,0.0,71.06,22.59,44.06,0.0,216.82,0.35,631.74,32.83,201.4,-0.61,35.64,trd_siemens36_1axis,239.41,973.02,237.04,1212.43,0.52,0.18,0.17,0.03,0.8,0.2,0.2
2040,0.0,81.6,11.8,16.68,0.0,485.52,0.35,732.12,32.83,231.0,-0.59,38.64,trd_siemens36_1axis,497.32,1116.53,269.64,1613.84,0.45,0.3,0.14,0.02,0.69,0.17,0.31
2050,-2.19,81.31,8.79,2.48,0.02,744.7,0.35,777.31,32.83,337.47,-0.57,170.46,trd_siemens36_1axis,753.5,1399.73,507.94,2153.24,0.36,0.35,0.16,0.08,0.65,0.24,0.35
2020,0.0,83.11,19.35,51.29,11.41,162.37,0.35,542.07,32.83,14.39,-0.43,27.62,trd_siemens23_1axis,193.13,700.36,42.01,893.5,0.61,0.18,0.02,0.03,0.78,0.05,0.22
