,Latitude,Longitude,project,load_zone,biome
311,-38.25,-63.75,p_wind_Argentina_AR730,Argentina,Pampas
312,-38.75,-63.75,p_wind_Argentina_AR731,Argentina,Patagonia
313,-39.25,-63.75,p_wind_Argentina_AR732,Argentina,Patagonia
314,-39.75,-63.75,p_wind_Argentina_AR733,Argentina,Patagonia
315,-40.25,-63.75,p_wind_Argentina_AR734,Argentina,Patagonia
316,-40.75,-63.75,p_wind_Argentina_AR735,Argentina,Patagonia
317,-42.25,-63.75,p_wind_Argentina_AR736,Argentina,Patagonia
318,-42.75,-63.75,p_wind_Argentina_AR737,Argentina,Patagonia
319,-31.75,-63.25,p_wind_Argentina_AR757,Argentina,Pampas
320,-32.25,-63.25,p_wind_Argentina_AR758,Argentina,Pampas
321,-32.75,-63.25,p_wind_Argentina_AR759,Argentina,Pampas
322,-33.25,-63.25,p_wind_Argentina_AR760,Argentina,Pampas
323,-33.75,-63.25,p_wind_Argentina_AR761,Argentina,Pampas
324,-34.25,-63.25,p_wind_Argentina_AR762,Argentina,Pampas
325,-34.75,-63.25,p_wind_Argentina_AR763,Argentina,Pampas
326,-35.25,-63.25,p_wind_Argentina_AR764,Argentina,Pampas
327,-35.75,-63.25,p_wind_Argentina_AR765,Argentina,Pampas
328,-36.25,-63.25,p_wind_Argentina_AR766,Argentina,Pampas
329,-36.75,-63.25,p_wind_Argentina_AR767,Argentina,Pampas
330,-37.25,-63.25,p_wind_Argentina_AR768,Argentina,Pampas
331,-37.75,-63.25,p_wind_Argentina_AR769,Argentina,Pampas
332,-38.25,-63.25,p_wind_Argentina_AR770,Argentina,Pampas
333,-38.75,-63.25,p_wind_Argentina_AR771,Argentina,Patagonia
334,-39.25,-63.25,p_wind_Argentina_AR772,Argentina,Patagonia
335,-39.75,-63.25,p_wind_Argentina_AR773,Argentina,Patagonia
336,-40.25,-63.25,p_wind_Argentina_AR774,Argentina,Patagonia
337,-40.75,-63.25,p_wind_Argentina_AR775,Argentina,Patagonia
338,-22.75,-62.75,p_wind_Argentina_AR777,Argentina,Gran Chaco
339,-23.25,-62.75,p_wind_Argentina_AR778,Argentina,Gran Chaco
340,-24.75,-62.75,p_wind_Argentina_AR781,Argentina,Gran Chaco
341,-25.25,-62.75,p_wind_Argentina_AR782,Argentina,Gran Chaco
342,-25.75,-62.75,p_wind_Argentina_AR783,Argentina,Gran Chaco
343,-26.25,-62.75,p_wind_Argentina_AR784,Argentina,Gran Chaco
344,-28.75,-62.75,p_wind_Argentina_AR789,Argentina,Gran Chaco
345,-29.25,-62.75,p_wind_Argentina_AR790,Argentina,Gran Chaco
346,-29.75,-62.75,p_wind_Argentina_AR791,Argentina,Gran Chaco
347,-30.25,-62.75,p_wind_Argentina_AR792,Argentina,Pampas
348,-30.75,-62.75,p_wind_Argentina_AR793,Argentina,Pampas
349,-31.25,-62.75,p_wind_Argentina_AR794,Argentina,Pampas
350,-31.75,-62.75,p_wind_Argentina_AR795,Argentina,Pampas
351,-32.25,-62.75,p_wind_Argentina_AR796,Argentina,Pampas
352,-32.75,-62.75,p_wind_Argentina_AR797,Argentina,Pampas
353,-33.25,-62.75,p_wind_Argentina_AR798,Argentina,Pampas
354,-33.75,-62.75,p_wind_Argentina_AR799,Argentina,Pampas
355,-34.25,-62.75,p_wind_Argentina_AR800,Argentina,Pampas
356,-34.75,-62.75,p_wind_Argentina_AR801,Argentina,Pampas
357,-35.25,-62.75,p_wind_Argentina_AR802,Argentina,Pampas
358,-35.75,-62.75,p_wind_Argentina_AR803,Argentina,Pampas
359,-36.25,-62.75,p_wind_Argentina_AR804,Argentina,Pampas
360,-36.75,-62.75,p_wind_Argentina_AR805,Argentina,Pampas
361,-37.25,-62.75,p_wind_Argentina_AR806,Argentina,Pampas
362,-37.75,-62.75,p_wind_Argentina_AR807,Argentina,Pampas
363,-38.25,-62.75,p_wind_Argentina_AR808,Argentina,Pampas
364,-38.75,-62.75,p_wind_Argentina_AR809,Argentina,Patagonia
365,-39.25,-62.75,p_wind_Argentina_AR810,Argentina,Patagonia
366,-39.75,-62.75,p_wind_Argentina_AR811,Argentina,Patagonia
367,-40.25,-62.75,p_wind_Argentina_AR812,Argentina,Patagonia
368,-40.75,-62.75,p_wind_Argentina_AR813,Argentina,Patagonia
369,-22.75,-62.25,p_wind_Argentina_AR814,Argentina,Gran Chaco
370,-23.25,-62.25,p_wind_Argentina_AR815,Argentina,Gran Chaco
371,-23.75,-62.25,p_wind_Argentina_AR816,Argentina,Gran Chaco
372,-24.25,-62.25,p_wind_Argentina_AR817,Argentina,Gran Chaco
373,-24.75,-62.25,p_wind_Argentina_AR818,Argentina,Gran Chaco
374,-25.25,-62.25,p_wind_Argentina_AR819,Argentina,Gran Chaco
