period,load_zone,Battery,Biomass,Biomass_new,Coal,Coal_new,Diesel,Diesel_new,Gas,Gas_new,Geothermal,Geothermal_new,Hydro,Hydro_new,Nuclear,Nuclear_new,Solar,Solar_new,Wind,Wind_new,scs
2030,Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4139275497288688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3845564440243407,0.0,-1.3577452087162036,Trade Siemens SWT 2.3 93 Single-Axis
2030,Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0865864607357985,0.0,0.0,0.0,-0.7459999999999987,0.0,0.0,0.0,24.957692929463477,0.0,-15.177,Trade Siemens SWT 2.3 93 Single-Axis
2030,Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8326708593751457,0.0,0.0,0.0,0.14499999999999996,0.0,0.0,0.0,0.4048189688749786,0.0,0.0,Trade Siemens SWT 2.3 93 Single-Axis
2030,Paraguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trade Siemens SWT 2.3 93 Single-Axis
2030,Uruguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trade Siemens SWT 2.3 93 Single-Axis
2035,Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1881381842393477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3845564440243407,0.0,-1.3577452087162036,Trade Siemens SWT 2.3 93 Single-Axis
2035,Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.021408516397141,0.0,0.0,0.0,-3.509999999999998,0.0,0.0,0.0,24.529983864547404,0.0,-17.805004845487247,Trade Siemens SWT 2.3 93 Single-Axis
2035,Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2644418853987389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4048189688749786,0.0,0.0,Trade Siemens SWT 2.3 93 Single-Axis
2035,Paraguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trade Siemens SWT 2.3 93 Single-Axis
2035,Uruguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4647429146123032,0.0,-0.3180884676985441,Trade Siemens SWT 2.3 93 Single-Axis
