,Latitude,Longitude,project,load_zone,biome
341,-23.75,-65.75,p_solar_Argentina_AR531,Argentina,Atacama/Andes
342,-24.25,-65.75,p_solar_Argentina_AR532,Argentina,Atacama/Andes
343,-24.75,-65.75,p_solar_Argentina_AR533,Argentina,Atacama/Andes
344,-25.25,-65.75,p_solar_Argentina_AR534,Argentina,Atacama/Andes
345,-25.75,-65.75,p_solar_Argentina_AR535,Argentina,Atacama/Andes
346,-26.75,-65.75,p_solar_Argentina_AR537,Argentina,Atacama/Andes
347,-27.25,-65.75,p_solar_Argentina_AR538,Argentina,Atacama/Andes
348,-27.75,-65.75,p_solar_Argentina_AR539,Argentina,Atacama/Andes
349,-32.75,-65.75,p_solar_Argentina_AR549,Argentina,Monte Desert
350,-33.25,-65.75,p_solar_Argentina_AR550,Argentina,Monte Desert
351,-33.75,-65.75,p_solar_Argentina_AR551,Argentina,Monte Desert
352,-34.25,-65.75,p_solar_Argentina_AR552,Argentina,Monte Desert
353,-34.75,-65.75,p_solar_Argentina_AR553,Argentina,Monte Desert
354,-35.25,-65.75,p_solar_Argentina_AR554,Argentina,Monte Desert
