period,load_zone,Battery_new,Biomass,Biomass_new,Coal,Coal_new,Diesel,Diesel_new,Gas,Gas_new,Geothermal,Geothermal_new,Hydro,Hydro_new,Nuclear,Nuclear_new,Solar,Solar_new,Wind,Wind_new,scs
2040,Argentina,0.0,0.046,0.0,2.9764,0.0,1.663,0.0,18.2543,16.741907954309774,0.0,0.0,11.31,1.171,1.755,0.0,0.439,7.134310606093095,1.609,0.0,prm15_wcost_re3_c2p1_t1
2040,Brazil,0.0,12.7812,0.0,5.604,0.0,4.297,0.0,16.0133,47.3514485195392,0.0,0.0,104.603,37.966,1.99,0.0,2.074,86.03417807806518,1.487,0.0,prm15_wcost_re3_c2p1_t1
2040,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,9.245147016487453,0.04,0.0,6.949,0.575,0.0,0.0,3.258,2.8322,2.507,0.0,prm15_wcost_re3_c2p1_t1
2040,Paraguay,0.0,0.022,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,8.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prm15_wcost_re3_c2p1_t1
2040,Uruguay,0.0,0.425,0.0,0.0,0.0,0.084,0.0,1.106,0.0,0.0,0.0,1.538,0.0,0.0,0.0,0.256,3.1906555569666186,1.514,0.41537207730818737,prm15_wcost_re3_c2p1_t1
2045,Argentina,0.0,0.046,0.0,2.9764,0.0,1.663,0.0,16.346799999999998,31.095412569037027,0.0,0.0,11.31,2.11,1.755,0.0,0.439,7.134310606093095,1.609,0.0,prm15_wcost_re3_c2p1_t1
2045,Brazil,0.0,11.802200000000001,0.0,4.896,0.0,4.297,0.0,15.9643,65.16561043473364,0.0,0.0,104.603,51.96,1.99,0.0,2.074,112.8703,1.487,3.015,prm15_wcost_re3_c2p1_t1
2045,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,13.943003201792116,0.04,0.0,6.949,0.575,0.0,0.0,3.258,2.8322,2.507,0.0,prm15_wcost_re3_c2p1_t1
2045,Paraguay,0.5343586994934417,0.022,0.0,0.0,0.0,0.025,0.1161810517406566,0.0,1.7199916301510756,0.0,0.0,8.81,0.0,0.0,0.0,0.0,0.86176874359059,0.0,0.0,prm15_wcost_re3_c2p1_t1
2045,Uruguay,0.05388156239980839,0.425,0.0,0.0,0.0,0.084,0.0,1.106,0.07707763255677294,0.0,0.0,1.538,0.0,0.0,0.0,0.256,3.4697,1.514,2.268265744763111,prm15_wcost_re3_c2p1_t1
2050,Argentina,0.0,0.046,0.0,0.9942000000000001,0.0,1.663,0.0,16.346799999999998,67.20109367882556,0.0,0.0,11.236,2.11,1.755,0.0,0.0,7.134310606093095,0.0,0.0,prm15_wcost_re3_c2p1_t1
2050,Brazil,0.0,11.802200000000001,0.0,4.896,0.0,4.297,0.0,15.9643,76.815617194031,0.0,0.0,104.603,54.489,1.99,0.0,0.0,128.7297,0.0,28.587,prm15_wcost_re3_c2p1_t1
2050,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,17.19,0.04,0.0,6.949,0.575,0.0,0.0,0.0,6.56687939369794,0.0,0.0,prm15_wcost_re3_c2p1_t1
2050,Paraguay,4.017549092340296,0.022,0.0,0.0,0.0,0.025,0.125,0.0,2.996466573454662,0.0,0.0,8.81,0.0,0.0,0.0,0.0,6.146495324876189,0.0,0.0,prm15_wcost_re3_c2p1_t1
2050,Uruguay,0.322110930422094,0.425,0.0,0.0,0.0,0.084,0.0,1.106,0.3197973074931815,0.0,0.0,1.538,0.0,0.0,0.0,0.0,4.6206908889171565,0.0,6.203921787464457,prm15_wcost_re3_c2p1_t1
2020,Argentina,0.0,0.046,0.0,4.153,0.0,1.663,0.0,18.654,0.0,0.0,0.0,11.31,0.0,1.755,0.0,0.439,0.0,1.609,0.0,prm15_wcost_re4_c2p1_t1
2020,Brazil,0.0,14.0261,0.0,5.856,0.0,4.297,0.0,16.145,0.0,0.0,0.0,104.603,0.0,1.99,0.0,2.074,0.0,1.487,0.0,prm15_wcost_re4_c2p1_t1
2020,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,0.0,0.04,0.0,6.949,0.0,0.0,0.0,3.258,0.0,2.507,0.0,prm15_wcost_re4_c2p1_t1
2020,Paraguay,0.0,0.022,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,8.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prm15_wcost_re4_c2p1_t1
2020,Uruguay,0.0,0.425,0.0,0.0,0.0,0.084,0.0,1.106,0.0,0.0,0.0,1.538,0.0,0.0,0.0,0.256,0.0,1.514,0.0,prm15_wcost_re4_c2p1_t1
2025,Argentina,0.0,0.046,0.0,4.153,0.0,1.663,0.0,18.3778,0.0,0.0,0.0,11.31,0.8,1.755,0.0,0.439,0.7515193135282441,1.609,0.0,prm15_wcost_re4_c2p1_t1
