lz_from,lz_to,connection,period,net_flow_twh,sc_name,short_name,emis_policy,exist_trd,op_char,fixed_pv,pol,group
Brazil,Paraguay,Brazil-Paraguay,14245,176.0457780353945,prm15_wcost_re6_c2p1_tn,ge25_1axis,0,0,6,0,"NoCut,Full",000
Brazil,Paraguay,Brazil-Paraguay,14245,177.94099258359228,prm15_wcost_re17_c2p1_tn,ge15_fixed,0,0,17,1,"NoCut,Full",001
Argentina,Paraguay,Argentina-Paraguay,14245,2.895052412829351,prm15_wcost_re10_c2p1_co2_cut90p_tn,cut90_enercon3_1axis,1,0,10,0,"90%Cut,Full",100
Brazil,Paraguay,Brazil-Paraguay,14245,176.47886661494783,prm15_wcost_re18_c2p1_tn,gamesa2_fixed,0,0,18,1,"NoCut,Full",001
Brazil,Paraguay,Brazil-Paraguay,14245,233.7364251861078,prm15_wcost_re13_c2p1_co2_cut90p_tn,cut90_vestas3_fixed,1,0,13,1,"90%Cut,Full",101
Brazil,Paraguay,Brazil-Paraguay,14245,176.41742784965402,prm15_wcost_re19_c2p1_tn,enercon7_fixed,0,0,19,1,"NoCut,Full",001
Argentina,Paraguay,Argentina-Paraguay,14245,3.035623271628859,prm15_wcost_re10_c2p1_tn,enercon3_1axis,0,0,10,0,"NoCut,Full",000
Brazil,Paraguay,Brazil-Paraguay,14245,176.05892917250034,prm15_wcost_re1_c2p1_tn,vestas2_1axis,0,0,1,0,"NoCut,Full",000
Brazil,Paraguay,Brazil-Paraguay,14245,186.4876068743029,prm15_wcost_re20_c2p1_tn,enercon3_fixed,0,0,20,1,"NoCut,Full",001
Brazil,Paraguay,Brazil-Paraguay,14245,176.32699432685268,prm15_wcost_re2_c2p1_tn,vestas7_1axis,0,0,2,0,"NoCut,Full",000
Argentina,Paraguay,Argentina-Paraguay,14245,2.9216549717053315,prm15_wcost_re11_c2p1_tn,vestas2_fixed,0,0,11,1,"NoCut,Full",001
Brazil,Paraguay,Brazil-Paraguay,14245,225.89441329273689,prm15_wcost_re18_c2p1_co2_cut90p_tn,cut90_gamesa2_fixed,1,0,18,1,"90%Cut,Full",101
Argentina,Paraguay,Argentina-Paraguay,14245,2.887052389533162,prm15_wcost_re12_c2p1_tn,vestas7_fixed,0,0,12,1,"NoCut,Full",001
Brazil,Paraguay,Brazil-Paraguay,14245,229.77615364660574,prm15_wcost_re12_c2p1_co2_cut90p_tn,cut90_vestas7_fixed,1,0,12,1,"90%Cut,Full",101
Brazil,Paraguay,Brazil-Paraguay,14245,178.45975504372572,prm15_wcost_re9_c2p1_tn,enercon7_1axis,0,0,9,0,"NoCut,Full",000
Argentina,Paraguay,Argentina-Paraguay,14245,2.831442488394094,prm15_wcost_re2_c2p1_tn,vestas7_1axis,0,0,2,0,"NoCut,Full",000
Brazil,Paraguay,Brazil-Paraguay,14245,224.2473993077597,prm15_wcost_re16_c2p1_co2_cut90p_tn,cut90_ge25_fixed,1,0,16,1,"90%Cut,Full",101
Argentina,Paraguay,Argentina-Paraguay,14245,2.7876113661584645,prm15_wcost_re13_c2p1_tn,vestas3_fixed,0,0,13,1,"NoCut,Full",001
Brazil,Paraguay,Brazil-Paraguay,14245,216.45383507294173,prm15_wcost_re7_c2p1_co2_cut90p_tn,cut90_ge15_1axis,1,0,7,0,"90%Cut,Full",100
Argentina,Paraguay,Argentina-Paraguay,14245,2.9026029751894113,prm15_wcost_re7_c2p1_tn,ge15_1axis,0,0,7,0,"NoCut,Full",000
Argentina,Paraguay,Argentina-Paraguay,14245,2.839008931999997,prm15_wcost_re14_c2p1_tn,siemens36_fixed,0,0,14,1,"NoCut,Full",001
Argentina,Paraguay,Argentina-Paraguay,14245,2.8705826644798322,prm15_wcost_re17_c2p1_tn,ge15_fixed,0,0,17,1,"NoCut,Full",001
Argentina,Paraguay,Argentina-Paraguay,14245,2.9072742683341755,prm15_wcost_re15_c2p1_tn,siemens23_fixed,0,0,15,1,"NoCut,Full",001
Brazil,Paraguay,Brazil-Paraguay,14245,225.52900788873112,prm15_wcost_re5_c2p1_co2_cut90p_tn,cut90_siemens23_1axis,1,0,5,0,"90%Cut,Full",100
Argentina,Paraguay,Argentina-Paraguay,14245,2.9317148898394447,prm15_wcost_re9_c2p1_tn,enercon7_1axis,0,0,9,0,"NoCut,Full",000
Brazil,Paraguay,Brazil-Paraguay,14245,178.2501932575443,prm15_wcost_re8_c2p1_tn,gamesa2_1axis,0,0,8,0,"NoCut,Full",000
Brazil,Paraguay,Brazil-Paraguay,14245,175.98955628921618,prm15_wcost_re7_c2p1_tn,ge15_1axis,0,0,7,0,"NoCut,Full",000
