horizon,variable,value,pol,month
203012,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,0.0,True,23
203501,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,0.0,True,24
203502,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,0.0,True,25
203503,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,0.0,True,26
203504,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,8.514631216352674,True,27
203505,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,0.6836380191248824,True,28
203506,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,0.0,True,29
203507,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,0.0,True,30
203508,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,0.0,True,31
203509,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,0.0,True,32
203510,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,0.0037184854403903,True,33
203511,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,0.15187414231353902,True,34
203512,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,0.0054729582203403,True,35
204001,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,3.8595763688005427,True,36
204002,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,1.1522266061737407,True,37
204003,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,1.0896869207753044,True,38
204004,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,17.857931333918394,True,39
204005,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,5.624176652382944,True,40
204006,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,0.6689057291999998,True,41
204007,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,0.7886970309290703,True,42
204008,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,2.7753508293546165,True,43
204009,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,0.8709354032465397,True,44
204010,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,2.9141337427091814,True,45
204011,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,4.56512753927107,True,46
